index,shape-type,vertex-index,axis-0,axis-1
0,rectangle,0,1.4640187,1239.7
0,rectangle,1,1.4640187,1257.9243
0,rectangle,2,127.42789,1257.9243
0,rectangle,3,127.42789,1239.7
1,rectangle,0,-2.0985525,1778.2268
1,rectangle,1,-2.0985525,1810.101
1,rectangle,2,124.49951,1810.101
1,rectangle,3,124.49951,1778.2268
2,line,0,136.13605,1813.2437
2,line,1,138.37245,1236.9801
3,line,0,274.81976,557.3445
3,line,1,268.0536,2226.875
4,line,0,136.54001,557.1648
4,line,1,130.95973,1237.638
5,line,0,122.81395,1812.4889
5,line,1,121.72633,2226.6765
6,line,0,-0.7739114,772.38153
6,line,1,396.81567,771.70593
